PartcipantID:1
RandID:1
InitialTimeStamp:21-26-47-165
block;trial;eventType;elapsedTime;EyeTrackerTime
1;0;Saccade0;0.081;
1;0;ShowingSaccadeCross_Time0.1603585;0.113;
1;0;ShowingSaccadeDot_Trial1_Position2;0.248;
1;0;ShowingSaccadeCross_Time0.1988085;1.248;
1;0;ShowingSaccadeDot_Trial2_Position0;1.452;
1;0;ShowingSaccadeCross_Time0.1774743;2.453;
1;0;ShowingSaccadeDot_Trial3_Position1;2.641;
1;0;ShowingSaccadeCross_Time0.1222682;3.642;
1;0;ShowingSaccadeDot_Trial4_Position3;3.777;
1;0;ShowingSaccadeCross_Time0.1342155;4.78;
1;0;ShowingSaccadeDot_Trial5_Position2;4.917;
1;0;ShowingSaccadeCross_Time0.1879759;5.918;
1;0;ShowingSaccadeDot_Trial6_Position3;6.122;
1;0;ShowingSaccadeCross_Time0.1782294;7.125;
1;0;ShowingSaccadeDot_Trial7_Position1;7.312;
1;0;ShowingSaccadeCross_Time0.1836761;8.316;
1;0;ShowingSaccadeDot_Trial8_Position0;8.503;
1;0;ShowingSaccadeCross_Time0.1706294;9.507;
1;0;ShowingSaccadeDot_Trial9_Position2;9.694;
1;0;ShowingSaccadeCross_Time0.1009868;10.7;
1;0;ShowingSaccadeDot_Trial10_Position2;10.802;
1;0;ShowingSaccadeCross_Time0.1036686;11.805;
1;0;ShowingSaccadeDot_Trial11_Position1;11.925;
1;0;ShowingSaccadeCross_Time0.1283837;12.927;
1;0;ShowingSaccadeDot_Trial12_Position1;13.062;
1;0;ShowingSaccadeCross_Time0.1127337;14.065;
1;0;ShowingSaccadeDot_Trial13_Position0;14.184;
1;0;ShowingSaccadeCross_Time0.1928867;15.185;
1;0;ShowingSaccadeDot_Trial14_Position0;15.389;
1;0;ShowingSaccadeCross_Time0.1501147;16.391;
1;0;ShowingSaccadeDot_Trial15_Position3;16.545;
1;0;ShowingSaccadeCross_Time0.1963913;17.548;
1;0;ShowingSaccadeDot_Trial16_Position3;17.751;
2;0;RewardScene;18.962;NA
2;1;Trial;20.018;NA
2;1;AnswerScreen;21.032;NA
2;1;TrialAnswer;21.255;NA
2;1;InterTrialRest;22.293;NA
2;1;RewardScene;22.63;NA
2;2;Trial;23.674;NA
2;2;AnswerScreen;24.691;NA
2;2;TrialAnswer;24.916;NA
2;2;InterTrialRest;25.952;NA
2;2;RewardScene;26.291;NA
2;3;Trial;27.337;NA
2;3;AnswerScreen;28.354;NA
2;3;TrialAnswer;28.575;NA
2;3;InterTrialRest;29.617;NA
2;3;RewardScene;29.957;NA
2;4;Trial;30.999;NA
