PartcipantID:5
RandID:5
InitialTimeStamp:09-19-48-298
block;trial;answer;correct;timeSpent;itemsSelected;finalvalue;finalweight;ReverseButtons;instanceNumber;pay;xyCoordinates;RandomNumber;SubmittedNumber
1;1;2;0;2;;0;0;0;21;0;(4.286122E-14,-350)(303.1089,175)(-303.1089,-175)(0,350)(303.1089,-175)(-303.1089,175);927;927
1;2;2;0;2;;0;0;0;17;0;(-303.1089,-175)(303.1089,-175)(0,350)(-303.1089,175)(4.286122E-14,-350)(303.1089,175);17302;0
1;3;2;0;2;;0;0;1;5;0;(-303.1089,175)(-303.1089,-175)(0,350)(303.1089,-175)(303.1089,175)(4.286122E-14,-350);732;0
1;4;2;0;2;;0;0;0;22;0;(0,350)(-303.1089,-175)(303.1089,-175)(-303.1089,175)(303.1089,175)(4.286122E-14,-350);2;0
1;5;2;0;2;;0;0;1;6;0;(303.1089,-175)(-303.1089,-175)(0,350)(4.286122E-14,-350)(303.1089,175)(-303.1089,175);179;0
1;6;2;0;2;;0;0;0;1;0;(-303.1089,-175)(4.286122E-14,-350)(303.1089,-175)(-303.1089,175)(0,350)(303.1089,175);3;0
1;7;2;0;2;;0;0;0;9;0;(-303.1089,175)(4.286122E-14,-350)(303.1089,-175)(-303.1089,-175)(0,350)(303.1089,175);1;0
1;8;2;0;2;;0;0;1;7;0;(303.1089,175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,-175)(0,350)(-303.1089,175);534;0
1;9;2;0;2;;0;0;0;4;0;(-303.1089,175)(-303.1089,-175)(0,350)(303.1089,-175)(303.1089,175)(4.286122E-14,-350);95804;0
1;10;2;0;2;;0;0;1;8;0;(303.1089,175)(0,350)(-303.1089,-175)(303.1089,-175)(4.286122E-14,-350)(-303.1089,175);18274;0
1;11;2;0;2;;0;0;0;24;0;(-303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(303.1089,175)(303.1089,-175)(0,350);3;0
1;12;2;0;2;;0;0;1;15;0;(303.1089,-175)(0,350)(4.286122E-14,-350)(-303.1089,175)(303.1089,175)(-303.1089,-175);639;0
1;13;2;0;2;;0;0;0;14;0;(-303.1089,175)(0,350)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,175);3;0
1;14;2;0;2;;0;0;0;2;0;(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,175)(0,350)(303.1089,-175);8;0
1;15;2;0;2;;0;0;0;10;0;(303.1089,-175)(-303.1089,-175)(0,350)(4.286122E-14,-350)(-303.1089,175)(303.1089,175);2;0
1;16;2;0;2;;0;0;0;11;0;(0,350)(-303.1089,-175)(303.1089,175)(303.1089,-175)(-303.1089,175)(4.286122E-14,-350);94105;0
1;17;2;0;2;;0;0;1;20;0;(0,350)(303.1089,175)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175);140;2
