PartcipantID:1
RandID:1
InitialTimeStamp:11-52-23-153
block;trial;eventType;elapsedTime
1;0;ShowNumber;0.029
1;1;Trial;2.079
1;1;AnswerScreen;4.126
1;1;TrialAnswer;4.332
1;1;ParticipantAnswer;5.21
1;1;EnterNumber;5.373
1;1;InterTrialRest;7.014
1;1;InterTrialRest;7.055
1;1;ShowNumber;7.395
1;2;Trial;9.439
1;2;AnswerScreen;11.455
1;2;TrialAnswer;11.676
1;2;ParticipantAnswer;11.722
1;2;EnterNumber;12.716
1;2;InterTrialRest;15.021
1;2;InterTrialRest;15.063
1;2;ShowNumber;15.411
1;3;Trial;17.456
1;3;AnswerScreen;19.478
1;3;TrialAnswer;19.694
1;3;EnterNumber;20.731
1;3;InterTrialRest;20.804
1;3;InterTrialRest;20.846
1;3;ShowNumber;21.189
1;4;Trial;23.229
1;4;AnswerScreen;25.253
1;4;TrialAnswer;25.283
1;4;ParticipantAnswer;25.735
1;4;EnterNumber;26.324
1;4;InterTrialRest;28.18
1;4;InterTrialRest;28.222
1;4;ShowNumber;28.566
1;5;Trial;30.625
1;5;AnswerScreen;32.648
1;5;TrialAnswer;32.865
1;5;ParticipantAnswer;33.588
1;5;EnterNumber;33.903
1;5;InterTrialRest;35.753
1;5;InterTrialRest;35.796
1;5;ShowNumber;36.139
1;6;Trial;38.178
1;6;AnswerScreen;40.202
1;6;TrialAnswer;40.431
1;6;ParticipantAnswer;41.315
1;6;EnterNumber;41.479
1;6;InterTrialRest;42.665
1;6;InterTrialRest;42.706
1;6;ShowNumber;43.05
1;7;Trial;45.101
1;7;AnswerScreen;47.126
1;7;TrialAnswer;47.35
1;7;ParticipantAnswer;48.166
1;7;EnterNumber;48.399
1;7;InterTrialRest;50.625
1;7;InterTrialRest;50.668
1;7;ShowNumber;51.012
1;8;Trial;53.054
1;8;AnswerScreen;55.063
1;8;TrialAnswer;55.104
1;8;ParticipantAnswer;55.695
1;8;EnterNumber;56.146
1;8;InterTrialRest;57.119
1;8;InterTrialRest;57.16
2;0;InterBlockRest;57.504
2;0;ShowNumber;59.847
2;1;Trial;61.888
