PartcipantID:1
RandID:1
InitialTimeStamp:21-32-34-573
block;trial;eventType;elapsedTime;EyeTrackerTime
1;0;Saccade0;0.234;
1;0;ShowingSaccadeCross_Time0.1742615;0.266;
1;0;ShowingSaccadeDot_Trial1_Position2;0.438;
1;0;ShowingSaccadeCross_Time0.1598133;1.438;
1;0;ShowingSaccadeDot_Trial2_Position0;1.607;
1;0;ShowingSaccadeCross_Time0.1564352;2.609;
1;0;ShowingSaccadeDot_Trial3_Position1;2.779;
1;0;ShowingSaccadeCross_Time0.149473;3.783;
1;0;ShowingSaccadeDot_Trial4_Position3;3.937;
1;0;ShowingSaccadeCross_Time0.1598121;4.945;
1;0;ShowingSaccadeDot_Trial5_Position2;5.114;
1;0;ShowingSaccadeCross_Time0.161499;6.125;
1;0;ShowingSaccadeDot_Trial6_Position3;6.294;
1;0;ShowingSaccadeCross_Time0.1517779;7.298;
1;0;ShowingSaccadeDot_Trial7_Position1;7.451;
1;0;ShowingSaccadeCross_Time0.117686;8.454;
1;0;ShowingSaccadeDot_Trial8_Position0;8.573;
1;0;ShowingSaccadeCross_Time0.1119271;9.575;
1;0;ShowingSaccadeDot_Trial9_Position2;9.694;
1;0;ShowingSaccadeCross_Time0.1120913;10.695;
1;0;ShowingSaccadeDot_Trial10_Position2;10.814;
1;0;ShowingSaccadeCross_Time0.1389995;11.815;
1;0;ShowingSaccadeDot_Trial11_Position1;11.968;
1;0;ShowingSaccadeCross_Time0.1277721;12.968;
1;0;ShowingSaccadeDot_Trial12_Position1;13.104;
1;0;ShowingSaccadeCross_Time0.1903776;14.106;
1;0;ShowingSaccadeDot_Trial13_Position0;14.31;
1;0;ShowingSaccadeCross_Time0.1739729;15.312;
1;0;ShowingSaccadeDot_Trial14_Position0;15.498;
1;0;ShowingSaccadeCross_Time0.1968662;16.498;
1;0;ShowingSaccadeDot_Trial15_Position3;16.702;
1;0;ShowingSaccadeCross_Time0.1948846;17.703;
1;0;ShowingSaccadeDot_Trial16_Position3;17.906;
2;0;InterBlockRest;19.121;NA
