"sep=,"
Shimmer_7619_Timestamp_Unix_CAL,Shimmer_7619_GSR_Range_CAL,Shimmer_7619_GSR_Skin_Conductance_CAL,Shimmer_7619_GSR_Skin_Resistance_CAL,Shimmer_7619_PPG_A13_CAL,
ms,no_units,uS,kOhms,mV,
1.583379976836792E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.5833799768446045E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.583379976852417E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.5833799768602295E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.583379976868042E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.5833799768758545E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.583379976883667E12,0.0,0.018223898820913683,54873.0000000002,0.7326007326007326,
1.5833799768914795E12,0.0,0.018223898820913683,54873.0000000002,0.0,
1.583379976899292E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.5833799769071045E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.583379976914917E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.5833799769227295E12,1.0,0.05871016323977976,17032.826086956582,0.7326007326007326,
1.583379976930542E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.5833799769383545E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.583379976946167E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.5833799769539795E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.583379976961792E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.5833799769696045E12,1.0,0.05871016323977976,17032.826086956582,0.0,
1.583379976977417E12,1.0,0.05871016323977976,17032.826086956582,0.7326007326007326,
1.5833799769852295E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.583379976993042E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.5833799770008545E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.583379977008667E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.5833799770164795E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.583379977024292E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.5833799770321045E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.583379977039917E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.5833799770477295E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.583379977055542E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.5833799770633545E12,2.0,0.07106227106227103,14072.164948453614,0.0,
1.583379977071167E12,3.0,0.07525807525807526,13287.610619469026,0.0,
1.5833799770789795E12,3.0,0.0725940725940726,13775.229357798164,0.0,
1.583379977086792E12,3.0,0.06726606726606729,14866.336633663359,0.0,
1.5833799770946045E12,3.0,0.06593406593406591,15166.666666666673,0.0,
1.583379977102417E12,3.0,0.06460206460206457,15479.381443298977,0.0,
1.5833799771102295E12,3.0,0.06415806415806413,15586.505190311425,0.0,
1.583379977118042E12,3.0,0.06504606504606503,15373.720136518778,0.0,
1.5833799771258545E12,3.0,0.06415806415806413,15586.505190311425,0.0,
1.583379977133667E12,3.0,0.06504606504606503,15373.720136518778,0.0,
