PartcipantID:01
RandID:1
InitialTimeStamp:14-34-25-263
block;trial;eventType;elapsedTime;EyeTrackerTime
1;0;Saccade;0.059;
1;0;ShowingSaccadeDot3;0.931;146014858
1;0;ShowingSaccadeCross0.8484596;1.94;147021518
1;0;ShowingSaccadeDot0;2.795;147874845
1;0;ShowingSaccadeCross0.8258664;3.811;148888173
1;0;ShowingSaccadeDot1;4.653;149734834
1;0;ShowingSaccadeCross1.270229;5.665;150741511
1;0;ShowingSaccadeDot2;6.944;152021509
1;0;ShowingSaccadeCross0.5613368;7.957;153034846
1;0;ShowingSaccadeDot2;8.531;153608182
1;0;ShowingSaccadeCross1.290313;9.54;154621522
1;0;ShowingSaccadeDot2;10.842;155921547
1;0;ShowingSaccadeCross1.128587;11.849;156928216
1;0;ShowingSaccadeDot0;12.981;158061545
1;0;ShowingSaccadeCross0.812492;13.991;159074874
1;0;ShowingSaccadeDot2;14.82;159901538
1;0;ShowingSaccadeCross0.968577;15.833;160914884
1;0;ShowingSaccadeDot1;16.809;161888214
1;0;ShowingSaccadeCross1.050969;17.822;162901544
1;0;ShowingSaccadeDot3;18.884;163961542
1;0;ShowingSaccadeCross1.474435;19.896;164974889
1;0;ShowingSaccadeDot3;21.382;166459889
1;0;ShowingSaccadeCross1.495684;22.395;167293220
1;0;ShowingSaccadeDot1;23.894;168976556
1;0;ShowingSaccadeCross1.467523;24.901;169983219
1;0;ShowingSaccadeDot1;26.382;171463214
1;0;ShowingSaccadeCross1.167169;27.392;172265717
1;0;ShowingSaccadeDot0;28.571;173654884
1;0;ShowingSaccadeCross0.9163147;29.584;174661546
1;0;ShowingSaccadeDot0;30.513;175594876
1;0;ShowingSaccadeCross1.185341;31.528;176601539
1;0;ShowingSaccadeDot3;32.725;177801551
1;0;RewardScene;33.763;NA
1;1;Trial;35.819;NA
1;1;ParticipantSkip;45.247;190321550
1;1;AnswerScreen;45.248;190321550
1;1;TrialAnswer;45.275;NA
1;1;ParticipantAnswer;46.23;NA
1;1;InterTrialRest;65.912;NA
1;1;RewardScene;66.242;NA
1;2;Trial;68.284;NA
1;2;ParticipantSkip;78.604;223686532
1;2;AnswerScreen;78.605;223686532
1;2;TrialAnswer;78.631;NA
1;2;ParticipantAnswer;79.547;NA
