PartcipantID:1
RandID:1
InitialTimeStamp:15-30-37-975
block;trial;eventType;elapsedTime;EyeTrackerTime
0;0;Saccade0;0.406;
0;0;ShowingSaccadeCross_Time1.011229;0.439;
0;0;ShowingSaccadeDot_Trial1_Position2;1.257;
0;0;ShowingSaccadeCross_Time0.6983857;1.374;
0;0;ShowingSaccadeDot_Trial2_Position2;2.074;
0;0;ShowingSaccadeCross_Time1.25767;2.19;
0;0;ShowingSaccadeDot_Trial3_Position2;3.458;
0;0;ShowingSaccadeCross_Time0.7698333;3.575;
0;0;ShowingSaccadeDot_Trial4_Position2;4.358;
0;0;ShowingSaccadeCross_Time1.429343;4.458;
0;0;ShowingSaccadeDot_Trial5_Position1;5.893;
0;0;ShowingSaccadeCross_Time1.458845;5.993;
0;0;ShowingSaccadeDot_Trial6_Position0;7.461;
0;0;ShowingSaccadeCross_Time0.943685;7.561;
0;0;ShowingSaccadeDot_Trial7_Position2;8.512;
0;0;ShowingSaccadeCross_Time1.374633;8.612;
0;0;ShowingSaccadeDot_Trial8_Position3;9.996;
0;0;ShowingSaccadeCross_Time1.207836;10.097;
0;0;ShowingSaccadeDot_Trial9_Position1;11.314;
0;0;ShowingSaccadeCross_Time0.6015387;11.414;
0;0;ShowingSaccadeDot_Trial10_Position1;12.032;
0;0;ShowingSaccadeCross_Time0.7457781;12.132;
0;0;ShowingSaccadeDot_Trial11_Position2;12.883;
0;0;ShowingSaccadeCross_Time1.484838;13;
0;0;ShowingSaccadeDot_Trial12_Position0;32.848;
0;0;ShowingSaccadeCross_Time1.272456;32.949;
0;0;ShowingSaccadeDot_Trial13_Position0;34.233;
0;0;ShowingSaccadeCross_Time0.5386285;34.35;
0;0;ShowingSaccadeDot_Trial14_Position2;34.901;
0;0;ShowingSaccadeCross_Time0.9125377;35.001;
0;0;ShowingSaccadeDot_Trial15_Position0;35.919;
0;0;ShowingSaccadeCross_Time0.9120714;36.019;
0;0;ShowingSaccadeDot_Trial16_Position3;36.936;
0;0;ShowingSaccadeCross_Time0.6079343;37.053;
0;0;ShowingSaccadeDot_Trial17_Position0;37.67;
0;0;ShowingSaccadeCross_Time1.136836;37.77;
0;0;ShowingSaccadeDot_Trial18_Position3;38.923;
0;0;ShowingSaccadeCross_Time1.024579;39.023;
0;0;ShowingSaccadeDot_Trial19_Position3;40.057;
0;0;ShowingSaccadeCross_Time1.26887;40.174;
0;0;ShowingSaccadeDot_Trial20_Position3;41.459;
0;0;ShowingSaccadeCross_Time0.5913603;41.559;
0;0;ShowingSaccadeDot_Trial21_Position0;42.16;
0;0;ShowingSaccadeCross_Time0.9002739;42.276;
0;0;ShowingSaccadeDot_Trial22_Position1;43.177;
0;0;ShowingSaccadeCross_Time0.7190743;43.278;
0;0;ShowingSaccadeDot_Trial23_Position1;44.012;
